model,fold,pr_auc,n_train,n_validation,n_features_kept
logistic_full_C01,0,0.11982777482380981,940,235,436
logistic_full_C01,1,0.11483814642916787,940,235,442
logistic_full_C01,2,0.1259456644623428,940,235,442
logistic_full_C01,3,0.31259656720053036,940,235,442
logistic_full_C01,4,0.20807023772862565,940,235,442
logistic_full_C01,5,0.09847038902144009,940,235,442
logistic_full_C01,6,0.16612123456827943,940,235,442
logistic_full_C01,7,0.17269701218263353,940,235,436
logistic_full_C01,8,0.0826960758016168,940,235,442
logistic_full_C01,9,0.3175554506830228,940,235,442
logistic_full_C01,10,0.20454513424189696,940,235,442
logistic_full_C01,11,0.16851770941179767,940,235,442
logistic_full_C01,12,0.16571699133560625,940,235,436
logistic_full_C01,13,0.17363830245128406,940,235,442
logistic_full_C01,14,0.10356034115987692,940,235,442
logistic_top40_C01,0,0.10276950055020455,940,235,436
logistic_top40_C01,1,0.16227931999134096,940,235,442
logistic_top40_C01,2,0.10922454083465227,940,235,442
logistic_top40_C01,3,0.1479549023136812,940,235,442
logistic_top40_C01,4,0.1388504561647369,940,235,442
logistic_top40_C01,5,0.09483207954630166,940,235,442
logistic_top40_C01,6,0.10708132240483767,940,235,442
logistic_top40_C01,7,0.09281266812395073,940,235,436
logistic_top40_C01,8,0.15852671104324628,940,235,442
logistic_top40_C01,9,0.10929197654920014,940,235,442
logistic_top40_C01,10,0.23290926443985652,940,235,442
logistic_top40_C01,11,0.24296033874426762,940,235,442
logistic_top40_C01,12,0.13617621868434535,940,235,436
logistic_top40_C01,13,0.13604544006134583,940,235,442
logistic_top40_C01,14,0.12860411632954166,940,235,442
logistic_top40_C001,0,0.10696580856908419,940,235,436
logistic_top40_C001,1,0.17145295097347424,940,235,442
logistic_top40_C001,2,0.10252284060120034,940,235,442
logistic_top40_C001,3,0.16260881196529628,940,235,442
logistic_top40_C001,4,0.1489199189709084,940,235,442
logistic_top40_C001,5,0.10555421856437702,940,235,442
logistic_top40_C001,6,0.10749503071354802,940,235,442
logistic_top40_C001,7,0.09354088437963677,940,235,436
logistic_top40_C001,8,0.1488693527427247,940,235,442
logistic_top40_C001,9,0.1511384892736347,940,235,442
logistic_top40_C001,10,0.17685082201362448,940,235,442
logistic_top40_C001,11,0.23825710990314053,940,235,442
logistic_top40_C001,12,0.1284890836947376,940,235,436
logistic_top40_C001,13,0.12956224772977568,940,235,442
logistic_top40_C001,14,0.11257546811914845,940,235,442
random_forest_unweighted,0,0.14280625894193266,940,235,436
random_forest_unweighted,1,0.16247217797167388,940,235,442
random_forest_unweighted,2,0.18814385397970845,940,235,442
random_forest_unweighted,3,0.3660045683483183,940,235,442
random_forest_unweighted,4,0.16792604255638524,940,235,442
random_forest_unweighted,5,0.14034359902886512,940,235,442
random_forest_unweighted,6,0.2639603174508619,940,235,442
random_forest_unweighted,7,0.17930224505542813,940,235,436
random_forest_unweighted,8,0.09350696027268565,940,235,442
random_forest_unweighted,9,0.18110886585813915,940,235,442
random_forest_unweighted,10,0.22409346385680634,940,235,442
random_forest_unweighted,11,0.2626309255922821,940,235,442
random_forest_unweighted,12,0.239787950271526,940,235,436
random_forest_unweighted,13,0.2475282996517728,940,235,442
random_forest_unweighted,14,0.109694742257996,940,235,442
random_forest_balanced,0,0.10785889056772635,940,235,436
random_forest_balanced,1,0.24355117620316902,940,235,442
random_forest_balanced,2,0.21935564117964723,940,235,442
random_forest_balanced,3,0.2373172673495442,940,235,442
random_forest_balanced,4,0.2814368031391388,940,235,442
random_forest_balanced,5,0.2776280618413442,940,235,442
random_forest_balanced,6,0.2524321314513228,940,235,442
random_forest_balanced,7,0.17652970084342157,940,235,436
random_forest_balanced,8,0.12623056916825656,940,235,442
random_forest_balanced,9,0.2163090746653295,940,235,442
random_forest_balanced,10,0.36865814460949725,940,235,442
random_forest_balanced,11,0.28427447868739386,940,235,442
random_forest_balanced,12,0.15353721638767212,940,235,436
random_forest_balanced,13,0.1087185067809516,940,235,442
random_forest_balanced,14,0.09781658810592098,940,235,442
xgboost_unweighted,0,0.10000669149420319,940,235,436
xgboost_unweighted,1,0.16050168792735192,940,235,442
xgboost_unweighted,2,0.1929010963182794,940,235,442
xgboost_unweighted,3,0.27779260646677156,940,235,442
xgboost_unweighted,4,0.22066733954683318,940,235,442
xgboost_unweighted,5,0.3097473521635351,940,235,442
xgboost_unweighted,6,0.21875292998427498,940,235,442
xgboost_unweighted,7,0.23011293819070272,940,235,436
xgboost_unweighted,8,0.0787201706539605,940,235,442
xgboost_unweighted,9,0.2402234037107038,940,235,442
xgboost_unweighted,10,0.24089967911834845,940,235,442
xgboost_unweighted,11,0.2992433998285222,940,235,442
xgboost_unweighted,12,0.19501288752109075,940,235,436
xgboost_unweighted,13,0.09358206194204426,940,235,442
xgboost_unweighted,14,0.12530547985359936,940,235,442
xgboost_balanced,0,0.0902945618480657,940,235,436
xgboost_balanced,1,0.2143722963989092,940,235,442
xgboost_balanced,2,0.21051879387143355,940,235,442
xgboost_balanced,3,0.19033048768926655,940,235,442
xgboost_balanced,4,0.1777231547551422,940,235,442
xgboost_balanced,5,0.25289520434987256,940,235,442
xgboost_balanced,6,0.17932352902493953,940,235,442
xgboost_balanced,7,0.1510207281667347,940,235,436
xgboost_balanced,8,0.11983660680630911,940,235,442
xgboost_balanced,9,0.2105503192603851,940,235,442
xgboost_balanced,10,0.20285048681896847,940,235,442
xgboost_balanced,11,0.25467684166779325,940,235,442
xgboost_balanced,12,0.14768408904699581,940,235,436
xgboost_balanced,13,0.11521094534557584,940,235,442
xgboost_balanced,14,0.1291347053660125,940,235,442
isolation_forest,0,0.08500286645654548,940,235,436
isolation_forest,1,0.15520185566043274,940,235,442
isolation_forest,2,0.08675206327622634,940,235,442
isolation_forest,3,0.1219300915742823,940,235,442
isolation_forest,4,0.23872209582208928,940,235,442
isolation_forest,5,0.18285269768023327,940,235,442
isolation_forest,6,0.15111030258934724,940,235,442
isolation_forest,7,0.1196958649977709,940,235,436
isolation_forest,8,0.14410676740497835,940,235,442
isolation_forest,9,0.11334205874928144,940,235,442
isolation_forest,10,0.05971914348129221,940,235,442
isolation_forest,11,0.21889584100382406,940,235,442
isolation_forest,12,0.1757898381652331,940,235,436
isolation_forest,13,0.10966248282980859,940,235,442
isolation_forest,14,0.11549952772445331,940,235,442
