feature,development_missing_fraction,development_unique_values
f_000,0.003404255319148936,1145
f_001,0.003404255319148936,1136
f_002,0.00851063829787234,466
f_003,0.00851063829787234,475
f_004,0.00851063829787234,461
f_005,0.00851063829787234,1
f_006,0.00851063829787234,468
f_007,0.005106382978723404,88
f_008,0.001702127659574468,964
f_009,0.001702127659574468,507
f_010,0.001702127659574468,362
f_011,0.001702127659574468,358
f_012,0.001702127659574468,1164
f_013,0.002553191489361702,1
f_014,0.002553191489361702,1167
f_015,0.002553191489361702,1172
f_016,0.002553191489361702,1123
f_017,0.002553191489361702,267
f_018,0.002553191489361702,1165
f_019,0.00851063829787234,329
f_020,0.0,500
f_021,0.0,1022
f_022,0.0,942
f_023,0.0,1133
f_024,0.0,1135
f_025,0.0,605
f_026,0.0,532
f_027,0.0,921
f_028,0.0,733
f_029,0.0,179
f_030,0.0,721
f_031,0.0,1009
f_032,0.0,325
f_033,0.0,318
f_034,0.0,317
f_035,0.0,319
f_036,0.0,318
f_037,0.0,312
f_038,0.0,317
f_039,0.0,320
f_040,0.015319148936170212,278
f_041,0.015319148936170212,302
f_042,0.000851063829787234,1
f_043,0.000851063829787234,1146
f_044,0.000851063829787234,1058
f_045,0.000851063829787234,1146
f_046,0.000851063829787234,1172
f_047,0.000851063829787234,1045
f_048,0.000851063829787234,1129
f_049,0.000851063829787234,1
f_050,0.000851063829787234,1150
f_051,0.000851063829787234,1172
f_052,0.000851063829787234,1
f_053,0.002553191489361702,141
f_054,0.002553191489361702,160
f_055,0.002553191489361702,106
f_056,0.002553191489361702,177
f_057,0.002553191489361702,155
f_058,0.002553191489361702,351
f_059,0.00425531914893617,1140
f_060,0.003404255319148936,1129
f_061,0.003404255319148936,1088
f_062,0.003404255319148936,1143
f_063,0.00425531914893617,1155
f_064,0.00425531914893617,1136
f_065,0.00425531914893617,1166
f_066,0.003404255319148936,1171
f_067,0.003404255319148936,1028
f_068,0.003404255319148936,1123
f_069,0.003404255319148936,1
f_070,0.003404255319148936,1155
f_071,0.003404255319148936,1170
f_072,0.48936170212765956,600
f_073,0.48936170212765956,599
