model,feature,selected_folds,fraction
isolation_forest,f_000,15,1.0
isolation_forest,f_001,15,1.0
isolation_forest,f_002,15,1.0
isolation_forest,f_003,15,1.0
isolation_forest,f_004,15,1.0
isolation_forest,f_006,15,1.0
isolation_forest,f_007,15,1.0
isolation_forest,f_008,15,1.0
isolation_forest,f_009,15,1.0
isolation_forest,f_010,15,1.0
isolation_forest,f_011,15,1.0
isolation_forest,f_012,15,1.0
isolation_forest,f_014,15,1.0
isolation_forest,f_015,15,1.0
isolation_forest,f_016,15,1.0
isolation_forest,f_017,15,1.0
isolation_forest,f_018,15,1.0
isolation_forest,f_019,15,1.0
isolation_forest,f_020,15,1.0
isolation_forest,f_021,15,1.0
isolation_forest,f_022,15,1.0
isolation_forest,f_023,15,1.0
isolation_forest,f_024,15,1.0
isolation_forest,f_025,15,1.0
isolation_forest,f_026,15,1.0
isolation_forest,f_027,15,1.0
isolation_forest,f_028,15,1.0
isolation_forest,f_029,15,1.0
isolation_forest,f_030,15,1.0
isolation_forest,f_031,15,1.0
isolation_forest,f_032,15,1.0
isolation_forest,f_033,15,1.0
isolation_forest,f_034,15,1.0
isolation_forest,f_035,15,1.0
isolation_forest,f_036,15,1.0
isolation_forest,f_037,15,1.0
isolation_forest,f_038,15,1.0
isolation_forest,f_039,15,1.0
isolation_forest,f_040,15,1.0
isolation_forest,f_041,15,1.0
isolation_forest,f_043,15,1.0
isolation_forest,f_044,15,1.0
isolation_forest,f_045,15,1.0
isolation_forest,f_046,15,1.0
isolation_forest,f_047,15,1.0
isolation_forest,f_048,15,1.0
isolation_forest,f_050,15,1.0
isolation_forest,f_051,15,1.0
isolation_forest,f_053,15,1.0
isolation_forest,f_054,15,1.0
isolation_forest,f_055,15,1.0
isolation_forest,f_056,15,1.0
isolation_forest,f_057,15,1.0
isolation_forest,f_058,15,1.0
isolation_forest,f_059,15,1.0
isolation_forest,f_060,15,1.0
isolation_forest,f_061,15,1.0
isolation_forest,f_062,15,1.0
isolation_forest,f_063,15,1.0
isolation_forest,f_064,15,1.0
isolation_forest,f_065,15,1.0
isolation_forest,f_066,15,1.0
isolation_forest,f_067,15,1.0
isolation_forest,f_068,15,1.0
isolation_forest,f_070,15,1.0
isolation_forest,f_071,15,1.0
isolation_forest,f_074,12,0.8
isolation_forest,f_075,15,1.0
isolation_forest,f_076,15,1.0
isolation_forest,f_077,15,1.0
isolation_forest,f_078,15,1.0
isolation_forest,f_079,15,1.0
isolation_forest,f_080,15,1.0
isolation_forest,f_081,15,1.0
isolation_forest,f_082,15,1.0
isolation_forest,f_083,15,1.0
isolation_forest,f_084,15,1.0
isolation_forest,f_086,15,1.0
isolation_forest,f_087,15,1.0
isolation_forest,f_088,15,1.0
isolation_forest,f_089,15,1.0
isolation_forest,f_090,15,1.0
isolation_forest,f_091,15,1.0
isolation_forest,f_092,15,1.0
isolation_forest,f_093,15,1.0
isolation_forest,f_094,15,1.0
isolation_forest,f_095,15,1.0
isolation_forest,f_096,15,1.0
isolation_forest,f_098,15,1.0
isolation_forest,f_099,15,1.0
isolation_forest,f_100,15,1.0
isolation_forest,f_101,15,1.0
isolation_forest,f_102,15,1.0
isolation_forest,f_103,15,1.0
isolation_forest,f_104,15,1.0
isolation_forest,f_105,15,1.0
isolation_forest,f_106,15,1.0
isolation_forest,f_107,15,1.0
isolation_forest,f_108,15,1.0
isolation_forest,f_113,15,1.0
isolation_forest,f_114,15,1.0
isolation_forest,f_115,15,1.0
isolation_forest,f_116,15,1.0
isolation_forest,f_117,15,1.0
isolation_forest,f_118,15,1.0
isolation_forest,f_119,15,1.0
isolation_forest,f_120,15,1.0
isolation_forest,f_121,15,1.0
isolation_forest,f_122,15,1.0
isolation_forest,f_123,15,1.0
isolation_forest,f_124,15,1.0
isolation_forest,f_125,15,1.0
isolation_forest,f_126,15,1.0
isolation_forest,f_127,15,1.0
isolation_forest,f_128,15,1.0
isolation_forest,f_129,15,1.0
isolation_forest,f_130,15,1.0
isolation_forest,f_131,15,1.0
isolation_forest,f_132,15,1.0
isolation_forest,f_133,15,1.0
isolation_forest,f_134,15,1.0
isolation_forest,f_135,15,1.0
isolation_forest,f_136,15,1.0
isolation_forest,f_137,15,1.0
isolation_forest,f_138,15,1.0
isolation_forest,f_139,15,1.0
isolation_forest,f_140,15,1.0
isolation_forest,f_142,15,1.0
isolation_forest,f_143,15,1.0
isolation_forest,f_144,15,1.0
isolation_forest,f_145,15,1.0
isolation_forest,f_146,15,1.0
isolation_forest,f_147,15,1.0
isolation_forest,f_148,15,1.0
isolation_forest,f_150,15,1.0
isolation_forest,f_151,15,1.0
isolation_forest,f_152,15,1.0
isolation_forest,f_153,15,1.0
isolation_forest,f_154,15,1.0
isolation_forest,f_155,15,1.0
isolation_forest,f_156,15,1.0
isolation_forest,f_159,15,1.0
isolation_forest,f_160,15,1.0
isolation_forest,f_161,15,1.0
isolation_forest,f_162,15,1.0
isolation_forest,f_163,15,1.0
isolation_forest,f_164,15,1.0
isolation_forest,f_165,15,1.0
isolation_forest,f_166,15,1.0
isolation_forest,f_167,15,1.0
isolation_forest,f_168,15,1.0
isolation_forest,f_169,15,1.0
isolation_forest,f_170,15,1.0
isolation_forest,f_171,15,1.0
isolation_forest,f_172,15,1.0
isolation_forest,f_173,15,1.0
isolation_forest,f_174,15,1.0
isolation_forest,f_175,15,1.0
isolation_forest,f_176,15,1.0
isolation_forest,f_177,15,1.0
isolation_forest,f_180,15,1.0
isolation_forest,f_181,15,1.0
isolation_forest,f_182,15,1.0
isolation_forest,f_183,15,1.0
isolation_forest,f_184,15,1.0
isolation_forest,f_185,15,1.0
isolation_forest,f_187,15,1.0
isolation_forest,f_188,15,1.0
isolation_forest,f_195,15,1.0
isolation_forest,f_196,15,1.0
isolation_forest,f_197,15,1.0
isolation_forest,f_198,15,1.0
isolation_forest,f_199,15,1.0
isolation_forest,f_200,15,1.0
isolation_forest,f_201,15,1.0
isolation_forest,f_202,15,1.0
isolation_forest,f_203,15,1.0
isolation_forest,f_204,15,1.0
isolation_forest,f_205,15,1.0
isolation_forest,f_206,12,0.8
isolation_forest,f_207,15,1.0
isolation_forest,f_208,15,1.0
isolation_forest,f_209,12,0.8
isolation_forest,f_210,15,1.0
isolation_forest,f_211,15,1.0
isolation_forest,f_212,15,1.0
isolation_forest,f_213,15,1.0
isolation_forest,f_214,15,1.0
isolation_forest,f_215,15,1.0
isolation_forest,f_216,15,1.0
isolation_forest,f_217,15,1.0
isolation_forest,f_218,15,1.0
isolation_forest,f_219,15,1.0
isolation_forest,f_221,15,1.0
isolation_forest,f_222,15,1.0
isolation_forest,f_223,15,1.0
isolation_forest,f_224,15,1.0
isolation_forest,f_225,15,1.0
isolation_forest,f_227,15,1.0
isolation_forest,f_228,15,1.0
isolation_forest,f_238,15,1.0
isolation_forest,f_239,15,1.0
isolation_forest,f_248,15,1.0
isolation_forest,f_249,15,1.0
isolation_forest,f_250,15,1.0
isolation_forest,f_251,15,1.0
isolation_forest,f_252,15,1.0
isolation_forest,f_253,15,1.0
isolation_forest,f_254,15,1.0
isolation_forest,f_255,15,1.0
isolation_forest,f_267,15,1.0
