row_index,rank,feature,contribution,observed_value
1377,1,f_059,0.023700425531914912,8.9964
1377,2,f_130,-0.015556270096463001,0.6676
1377,3,f_454,-0.011999999999999969,10.5642
1377,4,f_144,0.008000000000000007,0.0824
1377,5,f_281,0.008000000000000007,0.0128
1212,1,f_281,0.015659574468085094,0.0098
1212,2,f_033,-0.011532051282051287,8.2914
1212,3,f_310,-0.008000000000000007,0.2438
1212,4,f_390,-0.007472178060413379,0.4584
1212,5,f_160,-0.0040000000000000036,671.0
907,1,f_127,-0.007526020816653323,1.006
907,2,f_432,-0.004,43.6783
907,3,f_136,0.004,177.2
907,4,f_489,0.004,638.6308
907,5,f_487,0.004,0.0
766,1,f_059,-0.008000000000000021,-1.7136
766,2,f_033,-0.008000000000000021,8.5407
766,3,f_021,0.007999999999999993,-5098.25
766,4,f_307,-0.0077480851063829875,0.115
766,5,f_281,0.007714042553191483,0.0102
600,1,f_217,0.008,0.1327
600,2,f_168,0.008,0.248
600,3,f_021,-0.007901161059839248,-5761.0
600,4,f_273,0.007482553191489362,17.463
600,5,f_377,0.0040000000000000036,0.0017
297,1,f_031,-0.011999999999999983,4.6477
297,2,f_446,-0.01174808510638295,1.0494
297,3,f_103,0.011707234042553222,-0.0051
297,4,f_452,-0.011496012759170643,6.688
297,5,f_488,0.008000000000000007,0.0
820,1,f_366,-0.008,0.003
820,2,f_510,0.008,70.2635
820,3,f_349,0.004234893617021278,0.0363
820,4,f_272,0.0040000000000000036,27.1976
820,5,f_219,0.0040000000000000036,0.0045
500,1,f_021,0.020304567734985166,-5246.75
500,2,f_028,0.011267297412398,63.6889
500,3,f_539,0.008000000000000007,1.3443
500,4,f_007,-0.007999999999999993,0.1247
500,5,f_575,-0.007999999999999993,0.1378
1123,1,f_014,0.007805957446808516,4.7196
1123,2,f_295,0.0075380914194065896,2004.8779
1123,3,f_268,0.0040000000000000036,23.556
1123,4,f_162,0.0040000000000000036,15082.0
1123,5,f_467,0.0040000000000000036,6.4177
1213,1,f_033,-0.02000000000000001,8.322
1213,2,f_103,0.008,-0.0063
1213,3,f_312,-0.008,0.0486
1213,4,f_168,0.007754893617021273,0.217
1213,5,f_510,0.007731063829787242,77.4704
1543,1,f_117,-0.011370212765957451,59.898
1543,2,f_460,-0.008000000000000004,13.4113
1543,3,f_455,-0.007226093402520391,2.4262
1543,4,f_093,-0.0040000000000000036,-0.0008
1543,5,f_560,-0.0040000000000000036,0.3169
1157,1,f_183,0.008000000000000007,15.591
1157,2,f_059,-0.007925410020220167,-1.4355
1157,3,f_184,0.007864496260448758,0.246
1157,4,f_539,0.007741276595744695,3.8656
1157,5,f_043,-0.007683404255319146,365.5291
108,1,f_341,0.026579453072340657,4.0428
108,2,f_103,0.01517347709259291,-0.0075
108,3,f_310,-0.011714042553191473,0.256
108,4,f_455,-0.01141890853189853,2.1206
108,5,f_045,-0.008000000000000007,123.3918
170,1,f_059,0.04799999999999996,17.7927
170,2,f_103,0.023707234042553177,-0.0022
170,3,f_499,-0.016000000000000014,971.9626
170,4,f_030,-0.01200000000000001,0.2489
170,5,f_091,-0.01200000000000001,0.1297
570,1,f_031,-0.01174468085106381,4.6542
570,2,f_059,-0.007999999999999993,-2.0764
570,3,f_539,0.007840707964601762,0.9382
570,4,f_081,0.007734468085106375,0.0
570,5,f_499,-0.004373914990992739,993.722
1134,1,f_489,0.011999999999999983,953.5211
1134,2,f_440,-0.008000000000000007,21.1147
1134,3,f_089,0.007999999999999993,0.1657
1134,4,f_059,-0.007734468085106375,-0.5745
1134,5,f_210,0.007727659574468082,0.2919
1448,1,f_095,-0.008000000000000007,0.0001
1448,2,f_007,-0.008000000000000007,0.0
1448,3,f_417,-0.0075380914194065896,9.755
1448,4,f_238,-0.0042484041529051095,0.0028
1448,5,f_460,0.0040000000000000036,44.8191
216,1,f_031,-0.028047659574468087,4.6686
216,2,f_159,-0.02343829787234042,243.0
216,3,f_103,0.01999999999999999,-0.0066
216,4,f_037,-0.019155744680851072,65.7964
216,5,f_059,0.01895474058019675,18.8673
850,1,f_511,-0.0075623491552695085,772.8814
850,2,f_130,-0.007465531914893613,0.6108
850,3,f_125,-0.006956481673696096,1.532
850,4,f_577,-0.004135503739551256,14.8682
850,5,f_424,-0.004,1.2791
1049,1,f_319,0.008000000000000007,8.8999
1049,2,f_351,-0.008,0.0108
1049,3,f_281,0.0040000000000000036,0.0109
1049,4,f_353,0.0040000000000000036,0.0169
1049,5,f_152,-0.0040000000000000036,0.3621
1477,1,f_213,-0.007052825512703517,0.0226
1477,2,f_010,-0.004,-0.0068
1477,3,f_184,-0.004,0.2226
1477,4,f_076,-0.004,-0.0015
1477,5,f_468,-0.004,941.678
62,1,f_075,-0.007999999999999993,-0.0609
