feature,train_missing_fraction,train_unique_values
f_000,0.002554278416347382,766
f_001,0.002554278416347382,766
f_002,0.010217113665389528,393
f_003,0.010217113665389528,399
f_004,0.010217113665389528,391
f_005,0.010217113665389528,1
f_006,0.010217113665389528,395
f_007,0.006385696040868455,85
f_008,0.001277139208173691,693
f_009,0.001277139208173691,429
f_010,0.001277139208173691,315
f_011,0.001277139208173691,314
f_012,0.001277139208173691,777
f_013,0.001277139208173691,1
f_014,0.001277139208173691,779
f_015,0.001277139208173691,782
f_016,0.001277139208173691,759
f_017,0.001277139208173691,237
f_018,0.001277139208173691,779
f_019,0.011494252873563218,288
f_020,0.0,414
f_021,0.0,713
f_022,0.0,680
f_023,0.0,767
f_024,0.0,772
f_025,0.0,476
f_026,0.0,432
f_027,0.0,659
f_028,0.0,554
f_029,0.0,168
f_030,0.0,567
f_031,0.0,703
f_032,0.0,302
f_033,0.0,295
f_034,0.0,295
f_035,0.0,297
f_036,0.0,295
f_037,0.0,293
f_038,0.0,294
f_039,0.0,299
f_040,0.007662835249042145,261
f_041,0.007662835249042145,280
f_042,0.001277139208173691,1
f_043,0.001277139208173691,770
f_044,0.001277139208173691,734
f_045,0.001277139208173691,769
f_046,0.001277139208173691,781
f_047,0.001277139208173691,731
f_048,0.001277139208173691,762
f_049,0.001277139208173691,1
f_050,0.001277139208173691,774
f_051,0.001277139208173691,782
f_052,0.001277139208173691,1
f_053,0.001277139208173691,135
f_054,0.001277139208173691,154
f_055,0.001277139208173691,104
f_056,0.001277139208173691,167
f_057,0.001277139208173691,142
f_058,0.001277139208173691,315
f_059,0.002554278416347382,771
f_060,0.001277139208173691,758
f_061,0.001277139208173691,744
f_062,0.001277139208173691,767
f_063,0.002554278416347382,775
f_064,0.002554278416347382,771
f_065,0.002554278416347382,780
f_066,0.001277139208173691,782
f_067,0.001277139208173691,720
f_068,0.001277139208173691,764
f_069,0.001277139208173691,1
f_070,0.001277139208173691,775
f_071,0.001277139208173691,781
f_072,0.49169859514687103,398
f_073,0.49169859514687103,398
f_074,0.001277139208173691,2
f_075,0.016602809706257982,482
f_076,0.016602809706257982,568
f_077,0.016602809706257982,534
f_078,0.016602809706257982,612
f_079,0.016602809706257982,481
f_080,0.016602809706257982,580
f_081,0.016602809706257982,394
f_082,0.016602809706257982,560
f_083,0.001277139208173691,769
f_084,0.011494252873563218,167
f_085,0.8582375478927203,73
f_086,0.0,378
f_087,0.0,209
f_088,0.0,628
f_089,0.033205619412515965,463
f_090,0.033205619412515965,756
f_091,0.0038314176245210726,668
f_092,0.0,149
f_093,0.0,142
f_094,0.0038314176245210726,19
f_095,0.0038314176245210726,11
f_096,0.0038314176245210726,704
f_097,0.0038314176245210726,1
f_098,0.0038314176245210726,735
f_099,0.0038314176245210726,225
f_100,0.0038314176245210726,30
f_101,0.0038314176245210726,23
f_102,0.0038314176245210726,632
f_103,0.0,136
f_104,0.0,47
f_105,0.0038314176245210726,148
f_106,0.0038314176245210726,143
f_107,0.0038314176245210726,651
f_108,0.0038314176245210726,662
f_109,0.6615581098339719,87
f_110,0.6615581098339719,264
f_111,0.6615581098339719,265
f_112,0.4495530012771392,194
f_113,0.0,363
f_114,0.0,16
f_115,0.0,783
f_116,0.0,100
f_117,0.0,775
f_118,0.016602809706257982,275
f_119,0.0,220
f_120,0.0,690
f_121,0.006385696040868455,52
f_122,0.006385696040868455,269
f_123,0.006385696040868455,49
f_124,0.006385696040868455,56
f_125,0.006385696040868455,142
f_126,0.006385696040868455,243
f_127,0.006385696040868455,278
f_128,0.006385696040868455,234
f_129,0.006385696040868455,90
f_130,0.006385696040868455,271
f_131,0.006385696040868455,65
f_132,0.005108556832694764,266
f_133,0.005108556832694764,289
f_134,0.005108556832694764,288
f_135,0.002554278416347382,128
f_136,0.002554278416347382,646
f_137,0.002554278416347382,643
f_138,0.010217113665389528,288
f_139,0.010217113665389528,399
f_140,0.010217113665389528,384
f_141,0.010217113665389528,1
f_142,0.010217113665389528,310
f_143,0.006385696040868455,60
f_144,0.001277139208173691,604
f_145,0.001277139208173691,474
f_146,0.001277139208173691,429
f_147,0.001277139208173691,256
f_148,0.001277139208173691,777
f_149,0.001277139208173691,1
f_150,0.001277139208173691,754
f_151,0.001277139208173691,760
f_152,0.001277139208173691,731
f_153,0.001277139208173691,194
f_154,0.001277139208173691,779
f_155,0.011494252873563218,62
f_156,0.0,489
f_157,0.8952745849297573,79
f_158,0.8952745849297573,82
f_159,0.0,585
f_160,0.0,507
f_161,0.0,746
f_162,0.0,699
f_163,0.0,211
f_164,0.0,184
f_165,0.0,318
f_166,0.0,55
f_167,0.0,26
f_168,0.0,185
f_169,0.0,480
f_170,0.0,295
f_171,0.0,277
f_172,0.0,278
f_173,0.0,288
f_174,0.0,278
f_175,0.0,293
f_176,0.0,287
f_177,0.0,229
f_178,0.007662835249042145,1
f_179,0.001277139208173691,1
f_180,0.001277139208173691,575
f_181,0.001277139208173691,486
f_182,0.001277139208173691,590
f_183,0.001277139208173691,771
f_184,0.001277139208173691,631
f_185,0.001277139208173691,503
f_186,0.001277139208173691,1
f_187,0.001277139208173691,616
f_188,0.001277139208173691,778
f_189,0.001277139208173691,1
f_190,0.001277139208173691,1
f_191,0.001277139208173691,1
f_192,0.001277139208173691,1
f_193,0.001277139208173691,1
f_194,0.001277139208173691,1
f_195,0.001277139208173691,186
f_196,0.002554278416347382,556
f_197,0.001277139208173691,571
f_198,0.001277139208173691,524
f_199,0.001277139208173691,585
f_200,0.002554278416347382,617
f_201,0.002554278416347382,553
f_202,0.002554278416347382,757
f_203,0.001277139208173691,763
f_204,0.001277139208173691,696
f_205,0.001277139208173691,570
f_206,0.001277139208173691,2
f_207,0.001277139208173691,629
f_208,0.001277139208173691,777
f_209,0.001277139208173691,2
f_210,0.016602809706257982,525
f_211,0.016602809706257982,466
f_212,0.016602809706257982,466
f_213,0.016602809706257982,546
f_214,0.016602809706257982,522
f_215,0.016602809706257982,524
f_216,0.016602809706257982,507
f_217,0.016602809706257982,542
f_218,0.001277139208173691,777
f_219,0.011494252873563218,63
f_220,0.8582375478927203,51
f_221,0.0,330
f_222,0.0,149
f_223,0.0,628
f_224,0.033205619412515965,478
f_225,0.033205619412515965,746
f_226,0.0038314176245210726,1
f_227,0.0,253
f_228,0.0,241
f_229,0.0038314176245210726,1
f_230,0.0038314176245210726,1
f_231,0.0038314176245210726,1
f_232,0.0038314176245210726,1
f_233,0.0038314176245210726,1
f_234,0.0038314176245210726,1
f_235,0.0038314176245210726,1
f_236,0.0038314176245210726,1
f_237,0.0038314176245210726,1
f_238,0.0,80
f_239,0.0,72
f_240,0.0038314176245210726,1
f_241,0.0038314176245210726,1
f_242,0.0038314176245210726,1
f_243,0.0038314176245210726,1
f_244,0.6615581098339719,52
f_245,0.6615581098339719,264
f_246,0.6615581098339719,263
f_247,0.4495530012771392,318
f_248,0.0,335
f_249,0.0,17
f_250,0.0,782
f_251,0.0,91
f_252,0.0,774
f_253,0.016602809706257982,351
f_254,0.0,243
f_255,0.0,719
f_256,0.006385696040868455,1
f_257,0.006385696040868455,1
f_258,0.006385696040868455,1
f_259,0.006385696040868455,1
f_260,0.006385696040868455,1
f_261,0.006385696040868455,1
f_262,0.006385696040868455,1
f_263,0.006385696040868455,1
f_264,0.006385696040868455,1
f_265,0.006385696040868455,1
f_266,0.006385696040868455,1
f_267,0.005108556832694764,254
f_268,0.005108556832694764,286
f_269,0.005108556832694764,285
f_270,0.002554278416347382,450
f_271,0.002554278416347382,781
f_272,0.002554278416347382,781
f_273,0.010217113665389528,399
f_274,0.010217113665389528,399
f_275,0.010217113665389528,366
f_276,0.010217113665389528,1
f_277,0.010217113665389528,394
f_278,0.006385696040868455,21
f_279,0.001277139208173691,397
f_280,0.001277139208173691,206
f_281,0.001277139208173691,186
f_282,0.001277139208173691,104
f_283,0.001277139208173691,769
f_284,0.001277139208173691,1
f_285,0.001277139208173691,773
f_286,0.001277139208173691,777
f_287,0.001277139208173691,635
f_288,0.001277139208173691,77
f_289,0.001277139208173691,771
f_290,0.011494252873563218,266
f_291,0.0,290
f_292,0.8952745849297573,60
f_293,0.8952745849297573,82
f_294,0.0,782
f_295,0.0,781
f_296,0.0,783
f_297,0.0,782
f_298,0.0,496
f_299,0.0,448
f_300,0.0,604
f_301,0.0,657
f_302,0.0,425
f_303,0.0,391
f_304,0.0,670
f_305,0.0,281
f_306,0.0,242
f_307,0.0,255
f_308,0.0,267
f_309,0.0,258
f_310,0.0,281
f_311,0.0,251
f_312,0.0,278
f_313,0.007662835249042145,1
f_314,0.007662835249042145,1
f_315,0.001277139208173691,1
f_316,0.001277139208173691,776
f_317,0.001277139208173691,679
f_318,0.001277139208173691,772
f_319,0.001277139208173691,779
f_320,0.001277139208173691,405
f_321,0.001277139208173691,764
f_322,0.001277139208173691,1
f_323,0.001277139208173691,773
f_324,0.001277139208173691,781
f_325,0.001277139208173691,1
f_326,0.001277139208173691,1
f_327,0.001277139208173691,1
