row_index,rank,feature,contribution,observed_value
1377,1,f_566,-1.4461937432201495e-05,6.5688
1377,2,f_064,-1.1190975083495358e-05,11.0036
1377,3,f_214,-7.125127811092042e-06,0.1425
1377,4,f_564,-4.933677344422338e-06,15.04
1377,5,f_018,-3.832838382134102e-06,193.8418
1212,1,f_120,-0.009224661231861515,6.4978
1212,2,f_058,-0.007469910819699356,4.4676
1212,3,f_214,-0.0069747690872006786,0.1179
1212,4,f_018,-0.005653567683152154,192.9616
1212,5,f_080,-0.005485870162114651,0.0399
907,1,f_127,-1.7209487580130365e-05,1.006
907,2,f_024,-1.634266961731033e-05,9329.0
907,3,f_078,-1.3486671794374967e-05,0.0384
907,4,f_563,-1.3338035812296342e-05,0.7765
907,5,f_122,-1.2939433650659543e-05,6.442
766,1,f_132,-0.16055960514992895,2.4284
766,2,f_123,-0.01974532787088156,15.49
766,3,f_161,-0.015031057670091727,10771.0
766,4,f_121,-0.014890095517355881,15.52
766,5,f_499,-0.010808506889871122,815.0
600,1,f_305,-7.794307179019164e-05,0.3688
600,2,f_103,-6.10620189016304e-05,-0.0149
600,3,f_091,-5.9726905442101494e-05,-0.2086
600,4,f_132,-4.681969514958243e-05,2.3503
600,5,f_058,-4.5090796975268295e-05,4.4582
297,1,f_214,-0.0006052738111466267,0.4615
297,2,f_352,-1.0065411541147e-05,0.1085
297,3,f_059,-5.347392961329987e-06,-15.31
297,4,f_027,-3.3556502706732694e-07,5.1113
297,5,f_025,-3.0753240177925986e-07,0.9793
820,1,f_139,-0.40830399954754265,1738.4641
820,2,f_563,-0.38296385337656064,0.8266
820,3,f_078,-0.3431817612008298,0.0491
820,4,f_500,0.28782447669395006,933.3333
820,5,f_132,-0.246986119666961,2.3499
500,1,f_511,0.4059967902881412,937.1429
500,2,f_151,-0.34951023821387484,271.726
500,3,f_424,-0.34836735007670616,61.0134
500,4,f_286,-0.34719051639399023,81.4993
500,5,f_047,0.30451982247458287,0.837
1123,1,f_303,-0.017664266283124466,0.2258
1123,2,f_577,-0.013992950590142762,96.9601
1123,3,f_573,-0.008856864413478764,2.1967
1123,4,f_167,-0.0014620921158070767,16.3
1123,5,f_575,-0.0013466390213506332,0.5502
1213,1,f_078,-0.0014336864964882726,0.0935
1213,2,f_161,-0.0004354710135241077,14352.0
1213,3,f_296,-0.00032809792350527937,6938.9435
1213,4,f_488,-0.0002102004437804516,887.767
1213,5,f_303,-0.00014996666953326585,0.0643
1543,1,f_064,-0.012992680140633137,14.3373
1543,2,f_103,-0.011103080945115518,-0.0141
1543,3,f_027,-0.009809681719076715,5.1925
1543,4,f_006,-0.009698715706182883,119.8822
1543,5,f_560,-0.00844095229781541,0.3169
1157,1,f_132,-7.607431422690908e-10,2.4151
1157,2,f_162,-2.1382238458619638e-10,24486.0
1157,3,f_143,-1.9215533228837856e-10,0.0121
1157,4,f_018,-1.4154661750939245e-10,195.4498
1157,5,f_161,-8.98886659889582e-11,10852.0
108,1,f_563,-7.913742956115785e-06,0.8616
108,2,f_448,-5.318903507064067e-06,0.9368
108,3,f_566,-5.296031154467196e-06,5.7707
108,4,f_132,-5.119874890764484e-06,2.3712
108,5,f_177,-5.090168749607456e-06,1.121
170,1,f_132,-0.1690269859872164,2.4244
170,2,f_080,-0.03589801149884249,0.091
170,3,f_448,-0.03164827731585329,0.8522
170,4,f_177,-0.03015682812670866,1.016
170,5,f_312,-0.026388784153854455,0.432
570,1,f_363,-0.0008815136069699903,842.6579
570,2,f_305,-0.0006766856385716738,0.3537
570,3,f_129,-0.0005776971901814048,-1.655
570,4,f_086,-0.0005403773226288387,2.3651
570,5,f_103,-0.0005253466263288824,-0.0141
1134,1,f_214,-7.311459029899646e-05,0.4129
1134,2,f_352,-1.7107759605699173e-06,0.0942
1134,3,f_132,-5.068641187272753e-07,2.3914
1134,4,f_161,-2.675234576474245e-07,15525.0
1134,5,f_562,-2.1643650158182538e-07,277.598
1448,1,f_216,-8.457210835750442e-05,0.0345
1448,2,f_017,-5.135651625858249e-05,0.9615
1448,3,f_116,-4.595441668127179e-05,0.9621
1448,4,f_078,-4.117600232162926e-05,0.0238
1448,5,f_542,-3.5947687123254914e-05,0.1148
216,1,f_059,0.020716309266619937,18.8673
216,2,f_301,0.0033861927559649674,1.6746
216,3,f_500,0.0032548818134726654,849.8925
216,4,f_080,0.0021606409610913646,-0.1117
216,5,f_169,0.0010007110981127276,0.119
850,1,f_162,-1.1244448753930442e-05,36664.0
850,2,f_563,-3.592204557548583e-06,0.8175
850,3,f_542,-1.6988674482547124e-06,0.1164
850,4,f_126,-1.5667233569176175e-06,2.437
850,5,f_460,-1.4267699716321465e-06,72.0924
1049,1,f_082,-0.031139071993465352,0.1124
1049,2,f_548,-0.027644266199982472,81.312
1049,3,f_542,-0.013799807284652483,0.1166
1049,4,f_566,-0.012730430337935392,4.3538
1049,5,f_103,-0.008198790264353186,-0.013
1477,1,f_056,-8.91634078343881e-07,0.9097
1477,2,f_563,-4.2874337639119733e-07,0.7718
1477,3,f_086,-3.985415987393684e-07,2.3624
1477,4,f_121,-3.284548833384584e-07,15.53
1477,5,f_542,-3.147095025059674e-07,0.1159
62,1,f_059,0.46691077422152694,18.3209
62,2,f_491,0.3945799437885367,8.0405
62,3,f_132,-0.39342391524347753,2.3903
62,4,f_562,0.36901464321388233,246.422
62,5,f_548,-0.35486313664005953,82.242
42,1,f_548,-0.024471406435924815,81.24
42,2,f_448,-0.021738601119905773,0.8637
42,3,f_177,-0.020759097657414294,1.031
42,4,f_312,-0.017800369537260458,0.4353
42,5,f_161,-0.01560479570162069,12313.0
628,1,f_126,0.026264025276039438,3.351
628,2,f_365,0.024099273421667178,0.013
628,3,f_100,0.021082872688881094,0.0012
628,4,f_562,0.015439742878967655,250.704
628,5,f_367,0.015426414000391908,0.012
1156,1,f_132,-0.07452657534504198,2.3867
1156,2,f_129,-0.05721811766450178,-2.647
1156,3,f_488,-0.025975005191587776,997.5186
1156,4,f_086,-0.024495877783993224,2.362
1156,5,f_056,-0.02259634203798932,0.9179
140,1,f_563,-0.0004631914582440225,0.9253
140,2,f_059,-0.00028193510452650846,-9.2836
140,3,f_363,-9.738102372159662e-05,788.762
140,4,f_017,-7.610175101314921e-05,0.9607
140,5,f_027,-6.917889073355329e-05,5.0388
866,1,f_132,-6.356374802609072e-05,2.3984
866,2,f_448,-2.960214354440177e-05,0.9563
866,3,f_177,-2.7350835071970128e-05,1.13
866,4,f_312,-2.287815010752257e-05,0.4756
866,5,f_064,-1.9421768182716892e-05,13.1509
369,1,f_145,-0.00013263487214614032,0.1539
369,2,f_484,-7.359519800734597e-05,849.6124
369,3,f_214,-5.41786939819157e-05,0.118
369,4,f_011,-4.968576406050003e-05,0.9466
369,5,f_018,-4.625176465406919e-05,193.0963
996,1,f_129,-0.2896783390476125,-3.732
996,2,f_161,-0.0973344295837732,13873.0
996,3,f_296,-0.0772993051322125,6782.3588
996,4,f_126,-0.07053628925336622,2.381
996,5,f_127,-0.05590747849568838,0.9057
258,1,f_214,-3.421361287495305e-06,0.6196
258,2,f_352,-7.79832197086098e-09,0.1366
258,3,f_059,-1.5951655619878643e-10,-6.5391
258,4,f_305,-1.213084444509941e-10,0.3641
258,5,f_548,-1.1720497422945683e-10,80.092
1033,1,f_348,0.2500902009316295,0.1165
1033,2,f_511,0.052700644158540255,897.561
1033,3,f_075,0.036268290969382666,0.0589
1033,4,f_047,0.021878741100317067,0.8389
1033,5,f_301,0.020388769060761258,1.4344
355,1,f_100,-0.00016561444525255666,-0.0012
355,2,f_548,-0.00015031404707072996,81.642
355,3,f_082,-7.476773678078926e-05,0.0782
355,4,f_480,-7.113022725426858e-05,130.0653
355,5,f_086,-6.12691745688123e-05,2.3668
840,1,f_563,-0.37783213963115847,0.9639
840,2,f_480,0.23005962605197638,20.3387
840,3,f_047,0.22970656942850226,0.9788
840,4,f_349,0.2264955210516677,0.0455
840,5,f_132,0.2132457421604217,2.2802
1394,1,f_417,-0.0004763960454573765,24.1156
1394,2,f_216,-0.0004628024449504518,0.0188
1394,3,f_588,-0.0003971447242153342,0.0173
1394,4,f_059,-0.00032987785651307055,-6.2591
1394,5,f_144,-0.00020009718832355558,0.3302
1478,1,f_161,-3.4680052985075314e-07,15696.0
1478,2,f_305,-2.5226391507776967e-07,0.3681
1478,3,f_296,-2.4794481456554074e-07,7473.5872
1478,4,f_216,-2.1762911911167383e-07,0.0369
1478,5,f_563,-1.7826263121131256e-07,0.7699
1421,1,f_059,-0.00010188034368927223,-5.1618
1421,2,f_169,-8.290226722331794e-05,0.761
1421,3,f_056,-7.51952342649308e-05,0.918
1421,4,f_440,-7.325291525521845e-05,22.543
1421,5,f_126,-4.892827234715044e-05,2.495
195,1,f_299,-7.45416212438874e-05,1.0221
195,2,f_164,-5.420406111541138e-05,1.792
195,3,f_300,-1.0973078603651082e-05,1.7664
195,4,f_165,-5.922708856897352e-06,3.097
195,5,f_027,-5.555983714932106e-07,1.5295
455,1,f_120,-1.2182070981756295e-06,7.522
455,2,f_270,-4.028331876815422e-09,99.7297
455,3,f_162,-3.2467190906231747e-09,19652.0
455,4,f_020,-3.0950381896043286e-09,1.3713
455,5,f_018,-2.4844593315399444e-09,194.4858
587,1,f_213,0.02286800571141201,0.3118
587,2,f_078,0.008040472583392466,-0.0984
587,3,f_348,0.006209134853616294,0.0654
587,4,f_562,0.003880176089973597,251.36
587,5,f_047,0.002496046068029223,0.9392
1092,1,f_566,-8.169738052378725e-06,7.856
1092,2,f_132,-4.544314257583457e-06,2.3867
1092,3,f_129,-3.4239926392213016e-06,-2.647
1092,4,f_564,-2.964500870470941e-06,19.61
1092,5,f_563,-2.458698917835206e-06,0.8118
1090,1,f_132,-0.44376801053522125,2.4167
1090,2,f_129,-0.133857173074031,-2.08
1090,3,f_216,-0.0892502596189273,0.0451
1090,4,f_301,-0.0760252618940252,0.4485
1090,5,f_059,-0.06469308426032538,-3.1255
65,1,f_059,0.6840337277282704,18.8309
65,2,f_500,0.31785779252745305,908.2707
65,3,f_080,0.16202655622989381,-0.0945
65,4,f_120,0.12945967898467614,6.1214
65,5,f_078,0.12628788868135998,-0.0594
1498,1,f_588,-3.1041682479200706e-05,0.0212
1498,2,f_169,-1.8380053489042582e-05,0.933
1498,3,f_059,-1.6158689126287288e-05,-6.7227
1498,4,f_440,-1.5038529359110078e-05,27.3367
1498,5,f_014,-9.394984948466557e-06,14.4055
220,1,f_132,-0.1063925788335702,2.3704
220,2,f_086,-0.050329225109691914,2.3666
220,3,f_161,-0.044533391253500865,9948.0
220,4,f_296,-0.03368238446170796,4640.3235
220,5,f_511,0.029571219315068776,988.2353
1307,1,f_415,-0.005518132580653692,15.5298
1307,2,f_142,-0.00445900216796476,14.96
1307,3,f_563,-0.004230663833031325,0.8275
1307,4,f_216,-0.003772867337469588,0.0259
1307,5,f_064,-0.0030503993512895405,12.8991
537,1,f_548,-0.0008483924548035792,81.28
537,2,f_577,-0.0008068513001099032,37.5154
537,3,f_573,-0.0006200852795800731,0.8108
537,4,f_575,-0.0005861463471018369,0.286
537,5,f_549,-0.00048539967764507023,3.2604
1191,1,f_129,-0.0007261121003746173,-2.033
1191,2,f_139,-0.0006424472512059218,1321.8339
1191,3,f_064,-0.0006267585106743045,13.7245
1191,4,f_415,-0.0006145822445462173,12.273
1191,5,f_142,-0.0005422386447991124,12.1
234,1,f_548,-0.33279722324922056,81.364
