outer_fold,model,n_features,threshold,accuracy,fail_precision,fail_recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,review_count_10,recall_at_10,precision_at_10,review_count_20,recall_at_20,precision_at_20,review_count_30,recall_at_30,precision_at_30
0,rf_weighted_baseline,442,0.09808877430384465,0.7659574468085106,0.12962962962962962,0.4666666666666667,0.2028985507246377,0.6693939393939393,0.2188626921025732,173,47,8,7,23,0.3333333333333333,0.21739130434782608,47,0.4666666666666667,0.14893617021276595,70,0.6,0.12857142857142856
0,rf_missing,897,0.09817645629331574,0.7829787234042553,0.16666666666666666,0.6,0.2608695652173913,0.7487878787878789,0.29656673911242215,175,45,6,9,23,0.4,0.2608695652173913,47,0.5333333333333333,0.1702127659574468,70,0.6666666666666666,0.14285714285714285
0,rf_missing_pruned,768,0.09603206664227844,0.7404255319148936,0.11666666666666667,0.4666666666666667,0.18666666666666668,0.7506060606060605,0.19072530374506144,167,53,8,7,23,0.3333333333333333,0.21739130434782608,47,0.4666666666666667,0.14893617021276595,70,0.5333333333333333,0.11428571428571428
0,balanced_rf,442,0.42466666666666675,0.7446808510638298,0.13114754098360656,0.5333333333333333,0.21052631578947367,0.7584848484848485,0.24659075431850253,167,53,7,8,23,0.4,0.2608695652173913,47,0.5333333333333333,0.1702127659574468,70,0.5333333333333333,0.11428571428571428
0,balanced_rf_missing,897,0.42666666666666675,0.7574468085106383,0.15,0.6,0.24,0.7606060606060606,0.2818045286868253,169,51,6,9,23,0.4,0.2608695652173913,47,0.5333333333333333,0.1702127659574468,70,0.6666666666666666,0.14285714285714285
0,balanced_rf_missing_leaf5,897,0.44288571428571455,0.7829787234042553,0.17857142857142858,0.6666666666666666,0.28169014084507044,0.7903030303030303,0.25353558594202025,174,46,5,10,23,0.26666666666666666,0.17391304347826086,47,0.5333333333333333,0.1702127659574468,70,0.7333333333333333,0.15714285714285714
1,rf_weighted_baseline,442,0.09414537965879173,0.8,0.19230769230769232,0.6666666666666666,0.29850746268656714,0.8045454545454545,0.20511446646236298,178,42,5,10,23,0.3333333333333333,0.21739130434782608,47,0.6666666666666666,0.2127659574468085,70,0.7333333333333333,0.15714285714285714
1,rf_missing,880,0.0974857869905633,0.8085106382978723,0.23214285714285715,0.8666666666666667,0.36619718309859156,0.8245454545454546,0.24137824612800501,177,43,2,13,23,0.4,0.2608695652173913,47,0.8666666666666667,0.2765957446808511,70,0.8666666666666667,0.18571428571428572
1,rf_missing_pruned,756,0.09521452562513026,0.7914893617021277,0.19642857142857142,0.7333333333333333,0.30985915492957744,0.7827272727272727,0.2012942473178491,175,45,4,11,23,0.26666666666666666,0.17391304347826086,47,0.6666666666666666,0.2127659574468085,70,0.8,0.17142857142857143
1,balanced_rf,442,0.442,0.8085106382978723,0.1590909090909091,0.4666666666666667,0.23728813559322035,0.7763636363636364,0.19074412525557427,183,37,8,7,23,0.3333333333333333,0.21739130434782608,47,0.4666666666666667,0.14893617021276595,70,0.7333333333333333,0.15714285714285714
1,balanced_rf_missing,880,0.43333333333333335,0.774468085106383,0.1724137931034483,0.6666666666666666,0.273972602739726,0.7833333333333333,0.19703713495663905,172,48,5,10,23,0.26666666666666666,0.17391304347826086,47,0.6666666666666666,0.2127659574468085,70,0.7333333333333333,0.15714285714285714
1,balanced_rf_missing_leaf5,880,0.43391269841269847,0.7361702127659574,0.15942028985507245,0.7333333333333333,0.2619047619047619,0.786969696969697,0.18070159014966736,162,58,4,11,23,0.26666666666666666,0.17391304347826086,47,0.6,0.19148936170212766,70,0.7333333333333333,0.15714285714285714
2,rf_weighted_baseline,436,0.08843248711851191,0.6851063829787234,0.10810810810810811,0.5,0.17777777777777778,0.6649543378995434,0.20158008243390416,153,66,8,8,23,0.1875,0.13043478260869565,47,0.25,0.0851063829787234,70,0.4375,0.1
2,rf_missing,850,0.10998814723273907,0.7957446808510639,0.1,0.25,0.14285714285714285,0.6198630136986301,0.1633964768505657,183,36,12,4,23,0.1875,0.13043478260869565,47,0.25,0.0851063829787234,70,0.4375,0.1
2,rf_missing_pruned,726,0.10085542150140893,0.7531914893617021,0.0625,0.1875,0.09375,0.6364155251141553,0.20970576055609236,174,45,13,3,23,0.1875,0.13043478260869565,47,0.1875,0.06382978723404255,70,0.375,0.08571428571428572
2,balanced_rf,436,0.4366666666666667,0.7659574468085106,0.11764705882352941,0.375,0.1791044776119403,0.5980308219178082,0.20879872888448311,174,45,10,6,23,0.1875,0.13043478260869565,47,0.3125,0.10638297872340426,70,0.4375,0.1
2,balanced_rf_missing,850,0.45199999999999996,0.8170212765957446,0.06451612903225806,0.125,0.0851063829787234,0.5827625570776256,0.14643165962406368,190,29,14,2,23,0.125,0.08695652173913043,47,0.1875,0.06382978723404255,70,0.3125,0.07142857142857142
2,balanced_rf_missing_leaf5,850,0.44233015873015874,0.7276595744680852,0.1,0.375,0.15789473684210525,0.5747716894977168,0.17652165868434816,165,54,10,6,23,0.1875,0.13043478260869565,47,0.25,0.0851063829787234,70,0.4375,0.1
3,rf_weighted_baseline,442,0.11272088260647475,0.8,0.12195121951219512,0.3125,0.17543859649122806,0.6284246575342466,0.1710693986152264,183,36,11,5,23,0.125,0.08695652173913043,47,0.4375,0.14893617021276595,70,0.4375,0.1
3,rf_missing,904,0.10471790388345038,0.7617021276595745,0.1,0.3125,0.15151515151515152,0.6406963470319635,0.21911226922214438,174,45,11,5,23,0.25,0.17391304347826086,47,0.3125,0.10638297872340426,70,0.4375,0.1
3,rf_missing_pruned,780,0.09728258230379204,0.7319148936170212,0.1016949152542373,0.375,0.16,0.6312785388127854,0.17947136405353226,166,53,10,6,23,0.25,0.17391304347826086,47,0.375,0.1276595744680851,70,0.5,0.11428571428571428
3,balanced_rf,442,0.44333333333333336,0.774468085106383,0.13725490196078433,0.4375,0.208955223880597,0.6518264840182648,0.19878978230095315,175,44,9,7,23,0.3125,0.21739130434782608,47,0.4375,0.14893617021276595,70,0.5,0.11428571428571428
3,balanced_rf_missing,904,0.43333333333333335,0.7574468085106383,0.15254237288135594,0.5625,0.24,0.6776541095890412,0.21036523611435803,169,50,7,9,23,0.3125,0.21739130434782608,47,0.5625,0.19148936170212766,70,0.5625,0.12857142857142856
3,balanced_rf_missing_leaf5,904,0.43917142857142866,0.7148936170212766,0.1076923076923077,0.4375,0.1728395061728395,0.654109589041096,0.20448496811354838,161,58,9,7,23,0.4375,0.30434782608695654,47,0.4375,0.14893617021276595,70,0.4375,0.1
4,rf_weighted_baseline,442,0.08969167339507945,0.7446808510638298,0.09259259259259259,0.3125,0.14285714285714285,0.5990296803652968,0.13592692694749636,170,49,11,5,23,0.1875,0.13043478260869565,47,0.25,0.0851063829787234,70,0.375,0.08571428571428572
4,rf_missing,904,0.09344631531272667,0.7148936170212766,0.08196721311475409,0.3125,0.12987012987012986,0.6158675799086759,0.10851756586557243,163,56,11,5,23,0.1875,0.13043478260869565,47,0.3125,0.10638297872340426,70,0.375,0.08571428571428572
