window,model,n_train,n_calibration,n_assessment,assessment_fails,train_end,assessment_start,assessment_end,threshold,accuracy,fail_precision,fail_recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,review_count_10,recall_at_10,precision_at_10,review_count_20,recall_at_20,precision_at_20,review_count_30,recall_at_30,precision_at_30
0,rf_weighted_baseline,470,177,175,6,2008-08-31T21:46:00,2008-09-15T16:59:00,2008-09-25T11:08:00,0.14599886696773554,0.9142857142857143,0.2,0.5,0.2857142857142857,0.8067061143984221,0.35687576312576313,157,12,3,3,17,0.5,0.17647058823529413,35,0.5,0.08571428571428572,52,0.8333333333333334,0.09615384615384616
0,rf_missing,470,177,175,6,2008-08-31T21:46:00,2008-09-15T16:59:00,2008-09-25T11:08:00,0.12093412621758005,0.7771428571428571,0.07692307692307693,0.5,0.13333333333333333,0.8254437869822486,0.31752993595098855,133,36,3,3,17,0.3333333333333333,0.11764705882352941,35,0.5,0.08571428571428572,52,0.6666666666666666,0.07692307692307693
0,rf_missing_pruned,470,177,175,6,2008-08-31T21:46:00,2008-09-15T16:59:00,2008-09-25T11:08:00,0.13030326660433214,0.84,0.10714285714285714,0.5,0.17647058823529413,0.6932938856015779,0.08957612177509269,144,25,3,3,17,0.16666666666666666,0.058823529411764705,35,0.5,0.08571428571428572,52,0.6666666666666666,0.07692307692307693
0,balanced_rf,470,177,175,6,2008-08-31T21:46:00,2008-09-15T16:59:00,2008-09-25T11:08:00,0.41400000000000003,0.7371428571428571,0.08333333333333333,0.6666666666666666,0.14814814814814814,0.7830374753451677,0.26189398836457656,125,44,2,4,17,0.3333333333333333,0.11764705882352941,35,0.6666666666666666,0.11428571428571428,52,0.8333333333333334,0.09615384615384616
0,balanced_rf_missing,470,177,175,6,2008-08-31T21:46:00,2008-09-15T16:59:00,2008-09-25T11:08:00,0.391,0.7257142857142858,0.08,0.6666666666666666,0.14285714285714285,0.7440828402366864,0.23158525873702826,123,46,2,4,17,0.16666666666666666,0.058823529411764705,35,0.5,0.08571428571428572,52,0.6666666666666666,0.07692307692307693
0,balanced_rf_missing_leaf5,470,177,175,6,2008-08-31T21:46:00,2008-09-15T16:59:00,2008-09-25T11:08:00,0.3955095238095238,0.6457142857142857,0.07575757575757576,0.8333333333333334,0.1388888888888889,0.7652859960552267,0.3890308108793278,108,61,1,5,17,0.3333333333333333,0.11764705882352941,35,0.5,0.08571428571428572,52,0.6666666666666666,0.07692307692307693
1,rf_weighted_baseline,647,175,175,9,2008-09-15T12:27:00,2008-09-25T11:09:00,2008-10-05T12:03:00,0.13949458249887473,0.9257142857142857,0.0,0.0,0.0,0.5642570281124498,0.06712694473231016,162,4,9,0,17,0.1111111111111111,0.058823529411764705,35,0.1111111111111111,0.02857142857142857,52,0.4444444444444444,0.07692307692307693
1,rf_missing,647,175,175,9,2008-09-15T12:27:00,2008-09-25T11:09:00,2008-10-05T12:03:00,0.11068922485206036,0.8914285714285715,0.08333333333333333,0.1111111111111111,0.09523809523809523,0.536813922356091,0.06942546709556531,155,11,8,1,17,0.1111111111111111,0.058823529411764705,35,0.2222222222222222,0.05714285714285714,52,0.2222222222222222,0.038461538461538464
1,rf_missing_pruned,647,175,175,9,2008-09-15T12:27:00,2008-09-25T11:09:00,2008-10-05T12:03:00,0.13996569236378617,0.9485714285714286,0.0,0.0,0.0,0.47523427041499333,0.0576453190563249,166,0,9,0,17,0.1111111111111111,0.058823529411764705,35,0.1111111111111111,0.02857142857142857,52,0.3333333333333333,0.057692307692307696
1,balanced_rf,647,175,175,9,2008-09-15T12:27:00,2008-09-25T11:09:00,2008-10-05T12:03:00,0.45400000000000007,0.9428571428571428,0.0,0.0,0.0,0.44712182061579653,0.05231557668387708,165,1,9,0,17,0.0,0.0,35,0.2222222222222222,0.05714285714285714,52,0.2222222222222222,0.038461538461538464
1,balanced_rf_missing,647,175,175,9,2008-09-15T12:27:00,2008-09-25T11:09:00,2008-10-05T12:03:00,0.36666666666666664,0.6914285714285714,0.02127659574468085,0.1111111111111111,0.03571428571428571,0.41967871485943775,0.04638150473372082,120,46,8,1,17,0.0,0.0,35,0.0,0.0,52,0.1111111111111111,0.019230769230769232
1,balanced_rf_missing_leaf5,647,175,175,9,2008-09-15T12:27:00,2008-09-25T11:09:00,2008-10-05T12:03:00,0.39686984126984126,0.8171428571428572,0.04,0.1111111111111111,0.058823529411764705,0.4243641231593039,0.05374343695369026,142,24,8,1,17,0.1111111111111111,0.058823529411764705,35,0.1111111111111111,0.02857142857142857,52,0.2222222222222222,0.038461538461538464
2,rf_weighted_baseline,822,175,178,12,2008-09-25T11:08:00,2008-10-05T12:17:00,2008-10-17T06:07:00,0.10017202175404726,0.9157303370786517,0.2,0.08333333333333333,0.11764705882352941,0.6255020080321285,0.10913908481236727,162,4,11,1,17,0.08333333333333333,0.058823529411764705,35,0.16666666666666666,0.05714285714285714,53,0.5,0.11320754716981132
2,rf_missing,822,175,178,12,2008-09-25T11:08:00,2008-10-05T12:17:00,2008-10-17T06:07:00,0.06481022511476292,0.6629213483146067,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.5627510040160643,0.08773738889465131,114,52,8,4,17,0.08333333333333333,0.058823529411764705,35,0.16666666666666666,0.05714285714285714,53,0.25,0.05660377358490566
